Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Green Bay Packers,1,3,2,2,2,20,320.0,109.0,0,1,Away,Philadelphia Eagles
Tampa Bay Buccaneers,1,6,1,2,1,7,167.0,155.0,0,0,Home,Washington Redskins
Buffalo Bills,1,5,2,0,0,22,205.0,125.0,1,0,Home,Miami Dolphins
San Francisco 49ers,1,2,0,5,0,10,265.0,65.0,0,0,Home,New York Giants
Pittsburgh Steelers,1,0,0,1,1,24,263.0,49.0,0,0,Home,Tennessee Titans
Tennessee Titans,1,5,0,1,0,27,180.0,206.0,0,0,Away,Pittsburgh Steelers
Arizona Cardinals,1,4,0,1,0,6,164.0,98.0,0,0,Away,Detroit Lions
Atlanta Falcons,1,2,0,2,0,17,285.0,106.0,0,0,Home,Carolina Panthers
St. Louis Rams,1,2,0,2,0,7,369.0,28.0,0,0,Away,Denver Broncos
Houston Texans,1,2,1,1,0,7,317.0,58.0,0,0,Home,Cleveland Browns
San Diego Chargers,1,2,1,0,0,6,162.0,71.0,0,0,Away,Oakland Raiders
Carolina Panthers,1,2,1,0,0,19,260.0,86.0,0,0,Away,Atlanta Falcons
Chicago Bears,1,2,0,1,0,13,147.0,96.0,0,0,Away,Minnesota Vikings
Washington Redskins,1,2,1,0,0,27,281.0,48.0,0,0,Away,Tampa Bay Buccaneers
Denver Broncos,1,3,0,0,0,22,206.0,131.0,0,0,Home,St. Louis Rams
Indianapolis Colts,1,0,0,2,0,42,257.0,246.0,0,0,Away,New England Patriots
Seattle Seahawks,1,0,2,0,0,24,108.0,190.0,0,0,Home,Kansas City Chiefs
Kansas City Chiefs,1,2,0,0,0,20,168.0,204.0,0,0,Away,Seattle Seahawks
Miami Dolphins,1,2,0,0,0,9,183.0,54.0,0,0,Away,Buffalo Bills
Minnesota Vikings,1,0,0,2,0,21,330.0,138.0,0,0,Home,Chicago Bears
New England Patriots,1,1,0,1,0,20,303.0,19.0,0,0,Home,Indianapolis Colts
New York Giants,1,1,1,0,0,16,185.0,148.0,0,0,Away,San Francisco 49ers
Oakland Raiders,1,2,0,0,0,13,180.0,120.0,0,0,Home,San Diego Chargers
Detroit Lions,1,0,0,2,0,14,306.0,46.0,0,0,Home,Arizona Cardinals
Cincinnati Bengals,1,0,1,0,0,10,255.0,75.0,0,0,Home,New Orleans Saints
New Orleans Saints,1,1,0,0,0,27,219.0,186.0,0,0,Away,Cincinnati Bengals
Cleveland Browns,1,0,0,1,0,23,211.0,213.0,0,0,Away,Houston Texans
Philadelphia Eagles,1,1,0,0,0,53,365.0,110.0,0,0,Home,Green Bay Packers
