Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Kansas City Chiefs,1,4,1,0,0,13,202.0,78.0,0,1,Away,Oakland Raiders
Houston Texans,1,2,1,1,1,17,168.0,110.0,0,0,Home,Indianapolis Colts
New Orleans Saints,1,7,0,3,0,15,153.0,125.0,0,0,Home,Chicago Bears
Baltimore Ravens,1,8,0,1,0,12,166.0,82.0,0,0,Away,Jacksonville Jaguars
Buffalo Bills,1,1,0,2,0,13,175.0,158.0,0,1,Away,Green Bay Packers
Dallas Cowboys,1,4,2,2,0,27,219.0,75.0,0,0,Home,Philadelphia Eagles
New York Giants,1,7,1,0,0,13,228.0,144.0,0,0,Away,Washington Redskins
Pittsburgh Steelers,1,0,0,1,1,20,310.0,97.0,0,0,Home,Atlanta Falcons
Green Bay Packers,1,3,0,1,0,21,140.0,113.0,1,0,Home,Buffalo Bills
Carolina Panthers,1,3,2,1,0,17,136.0,151.0,0,0,Away,Tampa Bay Buccaneers
Seattle Seahawks,1,6,0,0,0,7,105.0,140.0,0,0,Away,San Francisco 49ers
San Francisco 49ers,1,5,0,1,0,17,138.0,152.0,0,0,Home,Seattle Seahawks
New England Patriots,1,4,0,2,0,13,308.0,76.0,0,0,Away,Miami Dolphins
Detroit Lions,1,4,0,2,0,14,284.0,76.0,0,0,Away,Minnesota Vikings
Cincinnati Bengals,1,3,0,2,0,0,54.0,53.0,0,0,Home,Cleveland Browns
New York Jets,1,1,1,0,0,11,253.0,89.0,1,0,Home,Tennessee Titans
Arizona Cardinals,1,2,1,1,0,6,211.0,69.0,0,0,Home,St. Louis Rams
Philadelphia Eagles,1,3,1,0,0,38,249.0,115.0,0,0,Away,Dallas Cowboys
Tampa Bay Buccaneers,1,3,1,0,0,19,269.0,121.0,0,0,Home,Carolina Panthers
Indianapolis Colts,1,1,1,1,0,10,152.0,137.0,0,0,Away,Houston Texans
Chicago Bears,1,2,1,0,0,31,360.0,83.0,0,0,Away,New Orleans Saints
Cleveland Browns,1,2,0,1,0,30,103.0,244.0,0,0,Away,Cincinnati Bengals
Tennessee Titans,1,3,0,0,0,16,163.0,114.0,0,0,Away,New York Jets
Oakland Raiders,1,1,1,0,0,31,295.0,93.0,0,0,Home,Kansas City Chiefs
Denver Broncos,1,0,0,2,0,10,232.0,56.0,0,0,Home,San Diego Chargers
Washington Redskins,1,1,1,0,0,24,238.0,49.0,0,0,Home,New York Giants
Atlanta Falcons,1,1,0,0,0,27,353.0,45.0,0,0,Away,Pittsburgh Steelers
Jacksonville Jaguars,1,0,1,0,0,20,221.0,93.0,0,0,Home,Baltimore Ravens
San Diego Chargers,1,1,0,0,0,22,226.0,111.0,0,0,Away,Denver Broncos
Miami Dolphins,1,0,0,1,0,41,287.0,108.0,0,0,Home,New England Patriots
St. Louis Rams,1,1,0,0,0,12,131.0,143.0,0,0,Away,Arizona Cardinals
Minnesota Vikings,1,0,0,0,0,16,153.0,80.0,0,0,Home,Detroit Lions
