Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
San Francisco 49ers,1,3,1,3,1,17,255.0,127.0,0,0,Home,Dallas Cowboys
Minnesota Vikings,1,5,0,2,1,6,246.0,72.0,0,0,Home,St. Louis Rams
Philadelphia Eagles,1,3,1,0,1,17,242.0,64.0,0,0,Away,Jacksonville Jaguars
Jacksonville Jaguars,1,5,2,1,0,34,275.0,145.0,0,0,Home,Philadelphia Eagles
Tennessee Titans,1,4,0,3,0,10,178.0,67.0,0,0,Home,Kansas City Chiefs
Carolina Panthers,1,3,1,2,0,14,162.0,102.0,0,0,Home,Tampa Bay Buccaneers
Miami Dolphins,1,4,2,0,0,20,226.0,89.0,0,0,Away,New England Patriots
Houston Texans,1,3,2,0,0,6,241.0,131.0,0,0,Away,Washington Redskins
Buffalo Bills,1,2,1,2,0,20,341.0,86.0,0,0,Home,Chicago Bears
Cincinnati Bengals,1,3,1,1,0,16,329.0,91.0,0,0,Home,Baltimore Ravens
Cleveland Browns,1,4,0,1,0,30,363.0,127.0,0,0,Home,Pittsburgh Steelers
Denver Broncos,1,3,0,2,0,24,354.0,54.0,0,0,Away,Indianapolis Colts
Green Bay Packers,1,1,1,0,0,36,191.0,207.0,1,0,Home,Seattle Seahawks
Oakland Raiders,1,2,1,1,0,19,190.0,212.0,0,0,Home,New York Jets
San Diego Chargers,1,2,2,0,0,18,294.0,109.0,0,0,Home,Arizona Cardinals
Kansas City Chiefs,1,4,0,0,0,26,243.0,162.0,0,0,Away,Tennessee Titans
Seattle Seahawks,1,3,0,1,0,16,175.0,80.0,0,0,Away,Green Bay Packers
New England Patriots,1,1,2,1,0,33,169.0,191.0,0,0,Home,Miami Dolphins
Detroit Lions,1,2,0,2,0,14,144.0,53.0,0,0,Away,New York Giants
Pittsburgh Steelers,1,3,0,0,0,27,206.0,183.0,0,0,Away,Cleveland Browns
New York Jets,1,2,0,0,0,14,133.0,25.0,0,0,Away,Oakland Raiders
Atlanta Falcons,1,0,1,1,0,34,333.0,139.0,0,0,Away,New Orleans Saints
Chicago Bears,1,1,0,1,0,23,167.0,193.0,0,0,Away,Buffalo Bills
New Orleans Saints,1,1,1,0,0,37,445.0,123.0,0,0,Home,Atlanta Falcons
Washington Redskins,1,1,1,0,0,17,201.0,115.0,0,0,Home,Houston Texans
Arizona Cardinals,1,0,0,1,0,17,238.0,52.0,0,0,Away,San Diego Chargers
Indianapolis Colts,1,1,0,0,0,31,259.0,102.0,0,0,Home,Denver Broncos
St. Louis Rams,1,1,0,0,0,34,160.0,186.0,0,0,Away,Minnesota Vikings
Tampa Bay Buccaneers,1,1,0,0,0,20,221.0,113.0,0,0,Away,Carolina Panthers
Dallas Cowboys,1,1,0,0,0,28,192.0,124.0,0,0,Away,San Francisco 49ers
New York Giants,1,1,0,0,0,35,341.0,76.0,0,0,Home,Detroit Lions
Baltimore Ravens,1,0,0,0,0,23,301.0,79.0,0,0,Away,Cincinnati Bengals
