Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Tennessee Titans,1,5,2,2,1,13,239.0,91.0,0,0,Away,New York Jets
Washington Redskins,1,7,1,1,1,14,194.0,104.0,0,0,Home,Oakland Raiders
Indianapolis Colts,1,4,0,3,1,3,165.0,40.0,0,0,Home,Jacksonville Jaguars
Seattle Seahawks,1,4,1,2,1,20,325.0,151.0,0,0,Home,Houston Texans
Detroit Lions,1,3,1,3,1,32,286.0,131.0,0,0,Away,Chicago Bears
Kansas City Chiefs,1,3,2,1,0,7,200.0,98.0,0,1,Away,New York Giants
Buffalo Bills,1,4,0,5,0,20,321.0,24.0,0,0,Away,Baltimore Ravens
Denver Broncos,1,3,0,0,0,20,284.0,166.0,0,1,Away,Philadelphia Eagles
New Orleans Saints,1,4,1,3,0,17,216.0,115.0,0,0,Away,Miami Dolphins
Dallas Cowboys,1,1,0,1,1,30,394.0,112.0,0,0,Home,San Diego Chargers
San Francisco 49ers,1,5,1,1,0,11,170.0,18.0,0,0,Home,St. Louis Rams
Minnesota Vikings,1,5,1,1,0,27,357.0,77.0,0,0,Away,Pittsburgh Steelers
Houston Texans,1,5,1,1,0,23,91.0,179.0,0,0,Away,Seattle Seahawks
Arizona Cardinals,1,2,1,2,0,10,173.0,80.0,0,0,Home,Tampa Bay Buccaneers
Baltimore Ravens,1,2,1,2,0,23,147.0,203.0,0,0,Home,Buffalo Bills
San Diego Chargers,1,3,1,0,0,21,225.0,92.0,0,0,Away,Dallas Cowboys
Chicago Bears,1,1,2,1,0,40,228.0,159.0,0,0,Home,Detroit Lions
St. Louis Rams,1,2,2,0,0,35,151.0,219.0,0,0,Away,San Francisco 49ers
Tampa Bay Buccaneers,1,1,1,2,0,13,240.0,56.0,0,0,Away,Arizona Cardinals
Cleveland Browns,1,2,1,1,0,6,203.0,63.0,0,0,Away,Cincinnati Bengals
New York Giants,1,1,1,2,0,31,288.0,102.0,0,0,Home,Kansas City Chiefs
Jacksonville Jaguars,1,2,0,1,0,37,283.0,154.0,0,0,Away,Indianapolis Colts
Miami Dolphins,1,2,1,0,0,38,397.0,68.0,0,0,Home,New Orleans Saints
Cincinnati Bengals,1,3,0,0,0,17,247.0,89.0,0,0,Home,Cleveland Browns
New England Patriots,1,2,0,1,0,23,399.0,58.0,0,0,Home,Atlanta Falcons
New York Jets,1,2,0,0,0,38,244.0,78.0,0,0,Home,Tennessee Titans
Oakland Raiders,1,1,1,0,0,24,217.0,122.0,0,0,Away,Washington Redskins
Philadelphia Eagles,1,1,0,0,0,52,331.0,141.0,0,0,Home,Denver Broncos
Pittsburgh Steelers,1,1,0,0,0,34,248.0,145.0,0,0,Home,Minnesota Vikings
Atlanta Falcons,1,0,0,0,0,30,316.0,132.0,0,0,Away,New England Patriots
