Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
St. Louis Rams,1,3,1,4,1,8,388.0,18.0,0,1,Home,Indianapolis Colts
Oakland Raiders,1,3,2,1,1,24,118.0,133.0,0,0,Home,New York Giants
Jacksonville Jaguars,1,1,3,1,1,27,279.0,83.0,0,0,Home,Tennessee Titans
Arizona Cardinals,1,3,1,0,1,24,159.0,76.0,0,0,Away,Houston Texans
Baltimore Ravens,1,5,0,3,0,17,244.0,120.0,0,0,Away,Cincinnati Bengals
Carolina Panthers,1,6,1,1,0,9,46.0,105.0,0,0,Home,San Francisco 49ers
Cincinnati Bengals,1,5,1,2,0,20,104.0,85.0,0,0,Home,Baltimore Ravens
Tennessee Titans,1,3,0,2,0,29,160.0,54.0,1,0,Away,Jacksonville Jaguars
San Francisco 49ers,1,4,1,1,0,10,139.0,111.0,0,0,Away,Carolina Panthers
New York Giants,1,4,1,1,0,20,106.0,107.0,0,0,Away,Oakland Raiders
Buffalo Bills,1,4,0,1,0,23,164.0,136.0,0,0,Home,Pittsburgh Steelers
Miami Dolphins,1,2,0,1,0,22,124.0,140.0,1,0,Home,Tampa Bay Buccaneers
Houston Texans,1,1,2,1,0,27,235.0,97.0,0,0,Home,Arizona Cardinals
Minnesota Vikings,1,4,0,0,0,27,242.0,191.0,0,0,Away,Washington Redskins
Denver Broncos,1,4,0,0,0,20,198.0,131.0,0,0,Home,San Diego Chargers
Pittsburgh Steelers,1,3,0,1,0,10,132.0,95.0,0,0,Away,Buffalo Bills
Green Bay Packers,1,3,1,0,0,27,211.0,204.0,0,0,Away,Philadelphia Eagles
San Diego Chargers,1,2,1,0,0,28,313.0,84.0,0,0,Away,Denver Broncos
Seattle Seahawks,1,2,1,0,0,10,162.0,64.0,0,0,Home,Atlanta Falcons
Indianapolis Colts,1,2,1,0,0,38,232.0,140.0,0,0,Away,St. Louis Rams
Tampa Bay Buccaneers,1,2,0,1,0,19,211.0,2.0,0,0,Away,Miami Dolphins
New Orleans Saints,1,3,0,0,0,17,104.0,89.0,0,0,Away,Dallas Cowboys
Philadelphia Eagles,1,1,0,2,0,13,297.0,99.0,0,0,Home,Green Bay Packers
Detroit Lions,1,2,0,1,0,19,300.0,38.0,0,0,Home,Chicago Bears
Washington Redskins,1,1,0,1,0,34,216.0,91.0,0,0,Home,Minnesota Vikings
Dallas Cowboys,1,1,1,0,0,49,383.0,242.0,0,0,Home,New Orleans Saints
Atlanta Falcons,1,1,0,0,0,33,279.0,211.0,0,0,Away,Seattle Seahawks
Chicago Bears,1,0,0,1,0,21,219.0,145.0,0,0,Away,Detroit Lions
