Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Cleveland Browns,1,2,1,2,2,38,261.0,179.0,0,0,Away,Chicago Bears
Kansas City Chiefs,1,0,2,5,1,31,331.0,130.0,0,0,Home,Oakland Raiders
Arizona Cardinals,1,3,1,2,1,34,394.0,66.0,0,0,Home,Tennessee Titans
San Francisco 49ers,1,4,1,1,1,14,144.0,39.0,0,0,Home,Tampa Bay Buccaneers
Carolina Panthers,1,4,0,1,1,20,140.0,157.0,0,0,Away,New York Jets
Buffalo Bills,1,5,2,2,0,20,195.0,159.0,0,0,Home,Jacksonville Jaguars
Seattle Seahawks,1,4,0,5,0,0,156.0,25.0,0,0,Home,New York Giants
Atlanta Falcons,1,1,5,2,0,26,373.0,103.0,0,0,Away,Washington Redskins
Pittsburgh Steelers,1,1,1,0,0,20,222.0,57.0,0,1,Away,Cincinnati Bengals
Chicago Bears,1,0,0,2,1,31,273.0,93.0,0,0,Home,Cleveland Browns
Tampa Bay Buccaneers,1,2,0,0,0,33,189.0,187.0,0,1,Away,San Francisco 49ers
St. Louis Rams,1,4,1,2,0,16,371.0,61.0,0,0,Away,New Orleans Saints
Indianapolis Colts,1,4,0,2,0,3,132.0,107.0,0,0,Away,Houston Texans
Jacksonville Jaguars,1,4,1,1,0,27,168.0,198.0,0,0,Away,Buffalo Bills
Green Bay Packers,1,3,0,2,0,36,332.0,134.0,0,0,Home,Dallas Cowboys
Minnesota Vikings,1,4,0,1,0,30,396.0,79.0,0,0,Away,Philadelphia Eagles
New England Patriots,1,4,1,0,0,24,289.0,89.0,0,0,Home,Miami Dolphins
New York Giants,1,4,0,1,0,23,193.0,134.0,0,0,Away,Seattle Seahawks
Washington Redskins,1,3,1,1,0,27,189.0,54.0,0,0,Home,Atlanta Falcons
Houston Texans,1,1,0,1,0,25,179.0,152.0,1,0,Home,Indianapolis Colts
Philadelphia Eagles,1,3,0,1,0,48,370.0,85.0,0,0,Home,Minnesota Vikings
Baltimore Ravens,1,1,0,3,0,16,230.0,119.0,0,0,Home,Detroit Lions
Oakland Raiders,1,2,1,0,0,56,306.0,78.0,0,0,Away,Kansas City Chiefs
Dallas Cowboys,1,2,0,1,0,37,283.0,150.0,0,0,Away,Green Bay Packers
New York Jets,1,2,0,0,0,30,261.0,131.0,0,0,Home,Carolina Panthers
San Diego Chargers,1,1,0,1,0,20,277.0,18.0,0,0,Home,Denver Broncos
Miami Dolphins,1,1,0,1,0,20,357.0,96.0,0,0,Away,New England Patriots
Cincinnati Bengals,1,1,0,1,0,30,184.0,106.0,0,0,Home,Pittsburgh Steelers
Tennessee Titans,1,2,0,0,0,37,215.0,145.0,0,0,Away,Arizona Cardinals
Denver Broncos,1,2,0,0,0,27,160.0,177.0,0,0,Away,San Diego Chargers
Detroit Lions,1,1,0,0,0,18,215.0,90.0,0,0,Away,Baltimore Ravens
New Orleans Saints,1,0,0,0,0,27,158.0,144.0,0,0,Home,St. Louis Rams
