Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Kansas City Chiefs,1,0,1,2,2,13,229.0,241.0,0,0,Home,Buffalo Bills
Miami Dolphins,1,5,1,3,1,20,302.0,163.0,0,0,Away,Cincinnati Bengals
Carolina Panthers,1,1,1,3,1,10,211.0,78.0,0,0,Away,Atlanta Falcons
Dallas Cowboys,1,2,1,1,1,23,224.0,169.0,0,0,Away,Minnesota Vikings
New England Patriots,1,5,1,2,0,31,371.0,108.0,0,0,Away,Pittsburgh Steelers
Cleveland Browns,1,5,1,1,0,18,223.0,55.0,0,0,Away,Baltimore Ravens
San Diego Chargers,1,0,0,1,1,30,291.0,209.0,0,0,Home,Washington Redskins
St. Louis Rams,1,4,0,2,0,28,165.0,198.0,0,0,Away,Tennessee Titans
Chicago Bears,1,5,0,1,0,20,113.0,199.0,0,0,Home,Green Bay Packers
Cincinnati Bengals,1,3,1,0,0,22,188.0,157.0,1,0,Home,Miami Dolphins
Philadelphia Eagles,1,3,0,2,0,20,350.0,210.0,0,0,Home,Oakland Raiders
Baltimore Ravens,1,3,1,0,0,24,242.0,73.0,0,0,Home,Cleveland Browns
Minnesota Vikings,1,3,0,1,0,27,314.0,36.0,0,0,Home,Dallas Cowboys
Tennessee Titans,1,2,2,0,0,21,203.0,160.0,0,0,Home,St. Louis Rams
New York Jets,1,2,0,2,0,20,366.0,41.0,0,0,Away,New Orleans Saints
Pittsburgh Steelers,1,3,1,0,0,55,413.0,197.0,0,0,Home,New England Patriots
Houston Texans,1,4,0,0,0,27,245.0,69.0,0,0,Away,Indianapolis Colts
Seattle Seahawks,1,3,0,0,0,24,145.0,205.0,0,0,Away,Tampa Bay Buccaneers
Atlanta Falcons,1,1,0,2,0,34,242.0,131.0,0,0,Home,Carolina Panthers
Tampa Bay Buccaneers,1,0,1,2,0,27,217.0,198.0,0,0,Home,Seattle Seahawks
Washington Redskins,1,1,0,2,0,24,341.0,69.0,0,0,Away,San Diego Chargers
Buffalo Bills,1,2,0,0,0,23,115.0,95.0,0,0,Away,Kansas City Chiefs
New Orleans Saints,1,2,0,0,0,26,140.0,198.0,0,0,Home,New York Jets
Oakland Raiders,1,2,0,0,0,49,414.0,128.0,0,0,Away,Philadelphia Eagles
Green Bay Packers,1,1,0,0,0,27,271.0,171.0,0,0,Away,Chicago Bears
Indianapolis Colts,1,1,0,0,0,24,340.0,143.0,0,0,Home,Houston Texans
