Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Kansas City Chiefs,1,6,1,1,0,10,192.0,65.0,0,2,Home,Washington Redskins
Atlanta Falcons,1,5,1,1,1,22,222.0,112.0,0,0,Home,Green Bay Packers
Detroit Lions,1,0,0,1,0,34,179.0,299.0,0,2,Home,Philadelphia Eagles
Arizona Cardinals,1,4,0,2,1,10,157.0,100.0,0,0,Away,St. Louis Rams
Tampa Bay Buccaneers,1,7,1,4,0,6,147.0,67.0,0,0,Away,Buffalo Bills
Pittsburgh Steelers,1,3,0,1,1,34,179.0,181.0,0,0,Away,Miami Dolphins
Baltimore Ravens,1,0,1,0,0,26,265.0,114.0,0,1,Away,Minnesota Vikings
Cleveland Browns,1,4,1,1,0,27,397.0,87.0,0,0,Home,New England Patriots
Jacksonville Jaguars,1,3,0,2,0,20,323.0,83.0,0,0,Away,Houston Texans
San Diego Chargers,1,2,1,2,0,14,241.0,92.0,0,0,Away,New York Giants
Minnesota Vikings,1,2,0,3,0,29,228.0,97.0,0,0,Home,Baltimore Ravens
New Orleans Saints,1,5,0,0,0,13,111.0,128.0,0,0,Away,Carolina Panthers
New York Jets,1,3,0,1,0,27,233.0,150.0,0,0,Away,Oakland Raiders
Miami Dolphins,1,3,1,0,0,28,328.0,84.0,0,0,Home,Pittsburgh Steelers
St. Louis Rams,1,1,1,0,0,30,262.0,107.0,1,0,Home,Arizona Cardinals
Denver Broncos,1,2,1,1,0,28,158.0,96.0,0,0,Away,Tennessee Titans
Green Bay Packers,1,1,1,1,0,21,202.0,83.0,0,0,Away,Atlanta Falcons
Philadelphia Eagles,1,0,3,0,0,20,148.0,80.0,0,0,Away,Detroit Lions
Buffalo Bills,1,1,0,2,0,27,81.0,165.0,0,0,Home,Tampa Bay Buccaneers
Seattle Seahawks,1,2,0,1,0,19,155.0,163.0,0,0,Home,San Francisco 49ers
San Francisco 49ers,1,2,0,1,0,17,178.0,86.0,0,0,Away,Seattle Seahawks
New York Giants,1,2,1,0,0,37,244.0,144.0,0,0,Home,San Diego Chargers
Oakland Raiders,1,1,0,1,0,37,209.0,143.0,0,0,Home,New York Jets
Carolina Panthers,1,2,0,0,0,31,304.0,69.0,0,0,Home,New Orleans Saints
Chicago Bears,1,2,0,0,0,28,130.0,198.0,0,0,Away,Dallas Cowboys
Houston Texans,1,1,0,0,0,27,132.0,149.0,0,0,Home,Jacksonville Jaguars
New England Patriots,1,1,0,0,0,26,386.0,108.0,0,0,Away,Cleveland Browns
Dallas Cowboys,1,1,0,0,0,45,341.0,149.0,0,0,Home,Chicago Bears
Washington Redskins,1,0,0,1,0,45,154.0,193.0,0,0,Away,Kansas City Chiefs
Indianapolis Colts,1,0,0,0,0,42,275.0,155.0,0,0,Home,Cincinnati Bengals
Cincinnati Bengals,1,0,0,0,0,28,326.0,63.0,0,0,Away,Indianapolis Colts
Tennessee Titans,1,0,0,0,0,51,397.0,154.0,0,0,Home,Denver Broncos
