Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Buffalo Bills,1,4,1,3,1,14,133.0,134.0,0,0,Away,New York Jets
Cincinnati Bengals,1,4,1,3,1,20,228.0,102.0,0,0,Away,Cleveland Browns
Seattle Seahawks,1,2,1,3,1,20,204.0,132.0,0,0,Away,Minnesota Vikings
Tampa Bay Buccaneers,1,3,1,2,1,28,268.0,152.0,0,0,Away,Atlanta Falcons
Chicago Bears,1,3,0,2,1,20,143.0,174.0,0,0,Away,Baltimore Ravens
New York Giants,1,0,0,3,1,13,339.0,55.0,0,0,Away,Green Bay Packers
Houston Texans,1,2,0,0,0,28,176.0,165.0,0,1,Away,Oakland Raiders
Cleveland Browns,1,0,0,2,1,41,118.0,106.0,0,0,Home,Cincinnati Bengals
Philadelphia Eagles,1,4,1,1,0,16,236.0,191.0,0,0,Away,Washington Redskins
Pittsburgh Steelers,1,2,2,1,0,27,344.0,107.0,0,0,Away,Detroit Lions
San Diego Chargers,1,4,0,1,0,20,239.0,104.0,0,0,Home,Miami Dolphins
Green Bay Packers,1,4,0,1,0,27,256.0,78.0,0,0,Home,New York Giants
Oakland Raiders,1,2,1,1,0,23,304.0,90.0,0,0,Home,Houston Texans
Arizona Cardinals,1,2,0,2,0,14,242.0,32.0,0,0,Home,Jacksonville Jaguars
Carolina Panthers,1,2,1,1,0,20,283.0,107.0,0,0,Away,New England Patriots
Miami Dolphins,1,3,0,1,0,16,281.0,154.0,0,0,Away,San Diego Chargers
San Francisco 49ers,1,1,2,1,0,23,295.0,92.0,0,0,Home,New Orleans Saints
New Orleans Saints,1,3,0,1,0,20,115.0,81.0,0,0,Away,San Francisco 49ers
Denver Broncos,1,3,1,0,0,17,200.0,144.0,0,0,Away,Kansas City Chiefs
Indianapolis Colts,1,2,1,0,0,27,218.0,122.0,0,0,Home,Tennessee Titans
Jacksonville Jaguars,1,3,0,0,0,27,402.0,14.0,0,0,Away,Arizona Cardinals
New England Patriots,1,3,0,0,0,24,197.0,103.0,0,0,Home,Carolina Panthers
Washington Redskins,1,3,0,0,0,24,276.0,126.0,0,0,Home,Philadelphia Eagles
Atlanta Falcons,1,2,0,0,0,41,224.0,186.0,0,0,Home,Tampa Bay Buccaneers
Baltimore Ravens,1,2,0,0,0,23,215.0,104.0,0,0,Home,Chicago Bears
Kansas City Chiefs,1,0,1,0,0,27,323.0,104.0,0,0,Home,Denver Broncos
Minnesota Vikings,1,1,0,0,0,41,230.0,93.0,0,0,Home,Seattle Seahawks
Tennessee Titans,1,1,0,0,0,30,229.0,137.0,0,0,Away,Indianapolis Colts
Detroit Lions,1,1,0,0,0,37,358.0,40.0,0,0,Home,Pittsburgh Steelers
New York Jets,1,1,0,0,0,37,245.0,68.0,0,0,Home,Buffalo Bills
