Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Aaron Rodgers,Green Bay Packers,1,25,42,346,3,0,6,28,0,Away,New York Jets
Philip Rivers,San Diego Chargers,1,28,37,284,3,0,11,17,0,Away,Seattle Seahawks
Jay Cutler,Chicago Bears,1,23,34,176,4,0,5,25,0,Home,San Francisco 49ers
Peyton Manning,Denver Broncos,1,21,26,242,3,0,1,-1,0,Away,Kansas City Chiefs
Colin Kaepernick,San Francisco 49ers,1,21,34,248,1,3,9,66,0,Away,Chicago Bears
Derek Carr,Oakland Raiders,1,27,42,263,1,2,4,58,0,Away,Houston Texans
Nick Foles,Philadelphia Eagles,1,21,37,331,1,1,4,22,0,Home,Indianapolis Colts
Andrew Luck,Indianapolis Colts,1,20,34,172,3,1,4,20,0,Away,Philadelphia Eagles
Eli Manning,New York Giants,1,26,39,277,2,2,1,5,0,Away,Arizona Cardinals
Josh McCown,Tampa Bay Buccaneers,1,16,21,179,0,1,2,6,2,Away,St. Louis Rams
Geno Smith,New York Jets,1,16,32,176,1,1,7,26,1,Home,Green Bay Packers
Kirk Cousins,Washington Redskins,1,22,33,250,2,0,1,-1,0,Away,Jacksonville Jaguars
Drew Brees,New Orleans Saints,1,27,40,237,2,1,1,3,0,Home,Cleveland Browns
Cam Newton,Carolina Panthers,1,22,34,281,1,0,4,19,0,Away,Detroit Lions
Russell Wilson,Seattle Seahawks,1,17,25,202,2,0,2,18,0,Home,San Diego Chargers
Matthew Stafford,Detroit Lions,1,27,48,291,1,1,1,8,0,Home,Carolina Panthers
Matt Ryan,Atlanta Falcons,1,24,44,231,1,3,3,28,0,Home,Cincinnati Bengals
Andy Dalton,Cincinnati Bengals,1,15,23,252,1,0,3,6,0,Away,Atlanta Falcons
Ryan Tannehill,Miami Dolphins,1,31,49,241,1,1,4,11,0,Home,Buffalo Bills
Alex Smith,Kansas City Chiefs,1,26,42,255,0,0,5,42,0,Home,Denver Broncos
Joe Flacco,Baltimore Ravens,1,21,29,166,2,0,5,3,0,Away,Pittsburgh Steelers
Jake Locker,Tennessee Titans,1,18,34,234,1,2,2,9,0,Away,Dallas Cowboys
Matt Cassel,Minnesota Vikings,1,19,36,202,1,4,3,16,0,Away,New England Patriots
Chad Henne,Jacksonville Jaguars,1,14,28,193,1,1,3,17,0,Home,Washington Redskins
Ryan Fitzpatrick,Houston Texans,1,14,19,139,2,0,0,0,0,Home,Oakland Raiders
EJ Manuel,Buffalo Bills,1,16,26,202,1,0,4,6,0,Away,Miami Dolphins
Brian Hoyer,Cleveland Browns,1,24,40,204,1,0,0,0,0,Away,New Orleans Saints
Tony Romo,Dallas Cowboys,1,19,29,176,1,0,0,0,0,Home,Tennessee Titans
Austin Davis,St. Louis Rams,1,22,29,235,0,0,1,0,0,Home,Tampa Bay Buccaneers
Tom Brady,New England Patriots,1,15,22,149,1,0,1,0,0,Home,Minnesota Vikings
Ben Roethlisberger,Pittsburgh Steelers,1,22,37,217,0,1,0,0,0,Home,Baltimore Ravens
Drew Stanton,Arizona Cardinals,1,14,29,167,0,0,2,-2,0,Home,New York Giants
Robert Griffin III,Washington Redskins,1,2,3,38,0,0,2,22,0,Away,Jacksonville Jaguars
Johnny Manziel,Cleveland Browns,1,0,1,0,0,0,0,0,0,Away,New Orleans Saints
Michael Vick,New York Jets,1,0,0,0,0,0,0,0,0,Home,Green Bay Packers
Ryan Mallett,Houston Texans,1,0,0,0,0,0,1,-1,0,Home,Oakland Raiders
