Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Peyton Manning,Denver Broncos,1,22,35,403,5,2,3,-3,0,Home,Kansas City Chiefs
Cam Newton,Carolina Panthers,1,18,29,263,2,2,5,68,1,Away,Tampa Bay Buccaneers
Russell Wilson,Seattle Seahawks,1,22,30,310,3,0,8,47,0,Away,New Orleans Saints
Brandon Weeden,Cleveland Browns,1,24,40,370,3,2,2,5,0,Away,Jacksonville Jaguars
Matthew Stafford,Detroit Lions,1,22,35,330,3,2,1,8,0,Away,Green Bay Packers
Alex Smith,Kansas City Chiefs,1,26,42,293,2,1,4,46,0,Away,Denver Broncos
Carson Palmer,Arizona Cardinals,1,24,41,302,3,2,1,-1,0,Home,Philadelphia Eagles
Ryan Tannehill,Miami Dolphins,1,28,43,331,2,1,3,22,0,Home,New York Jets
Tom Brady,New England Patriots,1,29,41,371,2,1,0,0,0,Home,Houston Texans
Nick Foles,Philadelphia Eagles,1,21,34,237,3,0,9,22,0,Away,Arizona Cardinals
Josh McCown,Chicago Bears,1,23,36,355,2,0,0,0,0,Home,Minnesota Vikings
Ryan Fitzpatrick,Tennessee Titans,1,21,37,201,1,3,8,54,1,Home,Indianapolis Colts
Robert Griffin III,Washington Redskins,1,24,32,207,1,0,12,88,0,Away,New York Giants
Ben Roethlisberger,Pittsburgh Steelers,1,28,44,257,2,0,1,11,0,Home,Baltimore Ravens
Matt Ryan,Atlanta Falcons,1,28,47,311,1,0,2,17,0,Home,Buffalo Bills
EJ Manuel,Buffalo Bills,1,18,32,210,1,0,4,3,1,Away,Atlanta Falcons
Case Keenum,Houston Texans,1,15,30,272,0,1,3,6,1,Away,New England Patriots
Colin Kaepernick,San Francisco 49ers,1,19,28,275,1,0,4,21,0,Away,St. Louis Rams
Chad Henne,Jacksonville Jaguars,1,22,40,195,2,1,0,0,0,Home,Cleveland Browns
Joe Flacco,Baltimore Ravens,1,24,35,251,1,0,4,7,0,Away,Pittsburgh Steelers
Kellen Clemens,St. Louis Rams,1,19,37,218,1,1,3,21,0,Home,San Francisco 49ers
Philip Rivers,San Diego Chargers,1,23,37,252,1,1,1,4,0,Away,Cincinnati Bengals
Matt Cassel,Minnesota Vikings,1,20,33,243,1,1,1,0,0,Away,Chicago Bears
Eli Manning,New York Giants,1,22,28,235,1,1,3,0,0,Home,Washington Redskins
Tony Romo,Dallas Cowboys,1,23,32,225,1,0,1,-1,0,Away,Oakland Raiders
Andy Dalton,Cincinnati Bengals,1,14,23,190,1,1,3,9,0,Home,San Diego Chargers
Andrew Luck,Indianapolis Colts,1,17,32,200,0,1,5,42,0,Away,Tennessee Titans
Matt McGloin,Oakland Raiders,1,18,30,255,0,1,2,-1,0,Home,Dallas Cowboys
Drew Brees,New Orleans Saints,1,23,38,147,1,0,1,-1,0,Home,Seattle Seahawks
Mike Glennon,Tampa Bay Buccaneers,1,14,21,180,0,1,2,3,0,Home,Carolina Panthers
Matt Flynn,Green Bay Packers,1,10,20,139,0,1,2,4,0,Home,Detroit Lions
Matt Simms,New York Jets,1,9,18,79,0,1,2,2,0,Away,Miami Dolphins
Christian Ponder,Minnesota Vikings,1,3,8,40,0,0,0,0,0,Away,Chicago Bears
Geno Smith,New York Jets,1,4,10,29,0,1,1,2,0,Away,Miami Dolphins
Derek Anderson,Carolina Panthers,1,0,0,0,0,0,1,2,0,Away,Tampa Bay Buccaneers
Shaun Hill,Detroit Lions,1,0,0,0,0,0,2,-2,0,Away,Green Bay Packers
