Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent
Tony Gonzalez,Atlanta Falcons,1,14,12,149,2,Away,New England Patriots
Jimmy Graham,New Orleans Saints,1,4,4,100,2,Away,Miami Dolphins
Antonio Gates,San Diego Chargers,1,10,10,136,1,Away,Dallas Cowboys
Jordan Cameron,Cleveland Browns,1,12,10,91,1,Away,Cincinnati Bengals
Coby Fleener,Indianapolis Colts,1,7,5,77,1,Home,Jacksonville Jaguars
Garrett Graham,Houston Texans,1,6,5,69,1,Away,Seattle Seahawks
Sean McGrath,Kansas City Chiefs,1,5,5,64,1,Away,New York Giants
Mychal Rivera,Oakland Raiders,1,6,2,44,1,Away,Washington Redskins
Charles Clay,Miami Dolphins,1,6,6,42,1,Home,New Orleans Saints
Jeff Cumberland,New York Jets,1,1,1,34,1,Home,Tennessee Titans
Martellus Bennett,Chicago Bears,1,12,8,90,0,Home,Detroit Lions
Vernon Davis,San Francisco 49ers,1,4,2,18,1,Home,St. Louis Rams
Delanie Walker,Tennessee Titans,1,4,3,14,1,Away,New York Jets
Kellen Winslow,New York Jets,1,9,6,73,0,Home,Tennessee Titans
Owen Daniels,Houston Texans,1,11,6,72,0,Away,Seattle Seahawks
Heath Miller,Pittsburgh Steelers,1,8,6,70,0,Home,Minnesota Vikings
Lance Kendricks,St. Louis Rams,1,1,1,6,1,Away,San Francisco 49ers
Ben Watson,New Orleans Saints,1,2,1,4,1,Away,Miami Dolphins
Matthew Mulligan,New England Patriots,1,1,1,1,1,Home,Atlanta Falcons
Brent Celek,Philadelphia Eagles,1,6,3,57,0,Home,Denver Broncos
Brandon Pettigrew,Detroit Lions,1,7,7,54,0,Away,Chicago Bears
Jermaine Gresham,Cincinnati Bengals,1,5,3,53,0,Home,Cleveland Browns
Logan Paulsen,Washington Redskins,1,2,2,46,0,Home,Oakland Raiders
Jared Cook,St. Louis Rams,1,9,4,45,0,Away,San Francisco 49ers
Julius Thomas,Denver Broncos,1,4,4,43,0,Away,Philadelphia Eagles
Jason Witten,Dallas Cowboys,1,10,5,43,0,Home,San Diego Chargers
Tim Wright,Tampa Bay Buccaneers,1,6,5,41,0,Away,Arizona Cardinals
Tyler Eifert,Cincinnati Bengals,1,5,3,39,0,Home,Cleveland Browns
Clay Harbor,Jacksonville Jaguars,1,3,2,39,0,Away,Indianapolis Colts
Zach Ertz,Philadelphia Eagles,1,2,1,38,0,Home,Denver Broncos
Dallas Clark,Baltimore Ravens,1,9,4,34,0,Home,Buffalo Bills
Scott Chandler,Buffalo Bills,1,3,2,28,0,Away,Baltimore Ravens
Lee Smith,Buffalo Bills,1,2,1,28,0,Away,Baltimore Ravens
Kevin Brock,Kansas City Chiefs,1,2,2,27,0,Away,New York Giants
Robert Housler,Arizona Cardinals,1,2,1,23,0,Home,Tampa Bay Buccaneers
Tony Scheffler,Detroit Lions,1,2,1,22,0,Away,Chicago Bears
Dominique Jones,Indianapolis Colts,1,1,1,21,0,Home,Jacksonville Jaguars
Niles Paul,Washington Redskins,1,3,2,20,0,Home,Oakland Raiders
James Casey,Philadelphia Eagles,1,1,1,12,0,Home,Denver Broncos
Ed Dickson,Baltimore Ravens,1,3,2,12,0,Home,Buffalo Bills
Jim Dray,Arizona Cardinals,1,1,1,10,0,Home,Tampa Bay Buccaneers
Vance McDonald,San Francisco 49ers,1,2,1,9,0,Home,St. Louis Rams
David Johnson,Pittsburgh Steelers,1,1,1,8,0,Home,Minnesota Vikings
Jeron Mastrud,Oakland Raiders,1,2,1,8,0,Away,Washington Redskins
Zach Miller,Seattle Seahawks,1,3,1,7,0,Home,Houston Texans
John Phillips,San Diego Chargers,1,1,1,7,0,Away,Dallas Cowboys
Kyle Rudolph,Minnesota Vikings,1,2,2,6,0,Away,Pittsburgh Steelers
Virgil Green,Denver Broncos,1,1,1,5,0,Away,Philadelphia Eagles
John Carlson,Minnesota Vikings,1,2,1,4,0,Away,Pittsburgh Steelers
Levine Toilolo,Atlanta Falcons,1,2,1,4,0,Away,New England Patriots
