Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Arizona Cardinals,1,9,3,1,2,8,155.0,101.0,0,0,Away,Green Bay Packers
Minnesota Vikings,1,4,0,3,1,17,302.0,91.0,0,0,Away,New York Giants
St. Louis Rams,1,4,2,1,1,17,289.0,60.0,0,0,Home,Seattle Seahawks
Washington Redskins,1,5,2,0,1,24,380.0,45.0,0,0,Home,Philadelphia Eagles
Houston Texans,1,1,3,1,1,6,234.0,30.0,0,0,Home,Tennessee Titans
Indianapolis Colts,1,6,0,1,0,12,329.0,82.0,1,0,Home,Miami Dolphins
New England Patriots,1,1,1,0,1,26,296.0,143.0,0,0,Home,New York Jets
Baltimore Ravens,1,3,0,2,0,17,215.0,110.0,0,0,Away,Pittsburgh Steelers
Dallas Cowboys,1,3,1,1,0,16,179.0,236.0,0,0,Home,Buffalo Bills
Green Bay Packers,1,2,1,1,0,38,269.0,121.0,0,0,Home,Arizona Cardinals
Oakland Raiders,1,1,1,0,0,20,277.0,72.0,1,0,Away,San Diego Chargers
San Diego Chargers,1,3,0,1,0,23,204.0,106.0,0,0,Home,Oakland Raiders
Chicago Bears,1,1,2,1,0,21,295.0,104.0,0,0,Home,Tampa Bay Buccaneers
Cincinnati Bengals,1,3,1,0,0,20,299.0,113.0,0,0,Home,Denver Broncos
New Orleans Saints,1,2,0,2,0,27,368.0,65.0,0,0,Away,Jacksonville Jaguars
Detroit Lions,1,3,1,0,0,17,225.0,121.0,0,0,Away,San Francisco 49ers
New York Jets,1,2,0,1,0,20,231.0,63.0,0,0,Away,New England Patriots
Atlanta Falcons,1,2,1,0,0,13,142.0,155.0,0,0,Away,Carolina Panthers
Carolina Panthers,1,2,1,0,0,20,306.0,77.0,0,0,Home,Atlanta Falcons
Denver Broncos,1,2,1,0,0,17,200.0,108.0,0,0,Away,Cincinnati Bengals
New York Giants,1,3,0,0,0,49,168.0,218.0,0,0,Home,Minnesota Vikings
Philadelphia Eagles,1,2,0,0,0,38,365.0,67.0,0,0,Away,Washington Redskins
Buffalo Bills,1,0,1,1,0,6,186.0,121.0,0,0,Away,Dallas Cowboys
Miami Dolphins,1,2,0,0,0,18,177.0,100.0,0,0,Away,Indianapolis Colts
San Francisco 49ers,1,2,0,0,0,32,301.0,87.0,0,0,Home,Detroit Lions
Cleveland Browns,1,1,0,1,0,17,125.0,136.0,0,0,Home,Kansas City Chiefs
Tennessee Titans,1,1,1,0,0,34,207.0,128.0,0,0,Away,Houston Texans
Pittsburgh Steelers,1,1,0,0,0,20,274.0,121.0,0,0,Home,Baltimore Ravens
Jacksonville Jaguars,1,1,0,0,0,38,412.0,135.0,0,0,Home,New Orleans Saints
Kansas City Chiefs,1,0,0,1,0,13,136.0,232.0,0,0,Away,Cleveland Browns
Tampa Bay Buccaneers,1,1,0,0,0,26,156.0,174.0,0,0,Away,Chicago Bears
Seattle Seahawks,1,0,0,0,0,23,103.0,104.0,0,0,Away,St. Louis Rams
