Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Philadelphia Eagles,1,4,0,2,1,28,348.0,103.0,0,2,Home,New England Patriots
Pittsburgh Steelers,1,5,1,2,0,10,220.0,54.0,0,1,Away,Indianapolis Colts
Kansas City Chiefs,1,4,0,3,1,20,283.0,99.0,0,0,Home,Oakland Raiders
Denver Broncos,1,4,2,1,1,3,202.0,93.0,0,0,Home,San Diego Chargers
Miami Dolphins,1,3,0,2,1,13,308.0,94.0,0,0,Away,Baltimore Ravens
New Orleans Saints,1,1,2,1,1,41,331.0,175.0,0,0,Away,Carolina Panthers
New York Giants,1,3,1,0,0,23,390.0,90.0,0,1,Away,New York Jets
Minnesota Vikings,1,2,1,0,0,38,274.0,173.0,0,1,Away,Seattle Seahawks
Tennessee Titans,1,2,1,0,1,39,322.0,81.0,0,0,Away,Jacksonville Jaguars
San Francisco 49ers,1,1,0,1,1,20,202.0,170.0,0,0,Home,Chicago Bears
Oakland Raiders,1,4,2,0,0,34,162.0,89.0,0,0,Away,Kansas City Chiefs
Jacksonville Jaguars,1,4,1,1,0,42,268.0,210.0,0,0,Home,Tennessee Titans
Carolina Panthers,1,2,0,1,0,38,282.0,70.0,1,0,Home,New Orleans Saints
Seattle Seahawks,1,4,0,1,0,7,118.0,31.0,0,0,Home,Minnesota Vikings
Cincinnati Bengals,1,3,1,1,0,3,230.0,68.0,0,0,Home,Cleveland Browns
New York Jets,1,3,0,1,0,20,297.0,74.0,0,0,Home,New York Giants
Green Bay Packers,1,3,1,0,0,23,220.0,101.0,0,0,Home,Detroit Lions
Chicago Bears,1,4,0,0,0,26,196.0,121.0,0,0,Away,San Francisco 49ers
Tampa Bay Buccaneers,1,3,0,1,0,19,269.0,64.0,0,0,Away,Atlanta Falcons
Dallas Cowboys,1,3,1,0,0,16,219.0,73.0,0,0,Home,Washington Redskins
Washington Redskins,1,1,3,0,0,19,222.0,97.0,0,0,Away,Dallas Cowboys
Detroit Lions,1,3,0,1,0,27,273.0,67.0,0,0,Away,Green Bay Packers
Atlanta Falcons,1,1,1,1,0,23,227.0,166.0,0,0,Home,Tampa Bay Buccaneers
Buffalo Bills,1,2,0,1,0,21,293.0,126.0,0,0,Away,Houston Texans
New England Patriots,1,1,2,0,0,35,120.0,128.0,0,0,Away,Philadelphia Eagles
Baltimore Ravens,1,1,1,0,0,15,86.0,137.0,0,0,Home,Miami Dolphins
Indianapolis Colts,1,0,2,0,0,45,364.0,158.0,0,0,Home,Pittsburgh Steelers
San Diego Chargers,1,1,0,1,0,17,166.0,134.0,0,0,Away,Denver Broncos
St. Louis Rams,1,2,0,0,0,27,362.0,175.0,0,0,Away,Arizona Cardinals
Arizona Cardinals,1,0,0,1,0,3,146.0,66.0,0,0,Home,St. Louis Rams
Houston Texans,1,1,0,0,0,30,211.0,187.0,0,0,Home,Buffalo Bills
Cleveland Browns,1,1,0,0,0,37,239.0,144.0,0,0,Away,Cincinnati Bengals
