Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Kirk Cousins,Washington Redskins,1,20,25,324,4,0,0,0,0,Away,New Orleans Saints
Ben Roethlisberger,Pittsburgh Steelers,1,22,33,379,3,1,2,-2,0,Away,Cleveland Browns
Carson Palmer,Arizona Cardinals,1,29,48,363,3,1,3,-2,0,Home,Seattle Seahawks
Joe Flacco,Baltimore Ravens,1,34,45,316,3,2,2,17,0,Away,Jacksonville Jaguars
Jay Cutler,Chicago Bears,1,19,24,258,3,0,3,24,0,Home,St. Louis Rams
Eli Manning,New York Giants,1,24,44,361,2,0,1,10,0,Away,New England Patriots
Tom Brady,New England Patriots,1,26,42,334,2,1,2,9,0,Home,New York Giants
Aaron Rodgers,Green Bay Packers,1,35,61,333,2,0,2,8,0,Away,Detroit Lions
Derek Carr,Oakland Raiders,1,29,43,302,2,2,2,12,0,Away,Minnesota Vikings
Johnny Manziel,Cleveland Browns,1,33,45,372,1,1,3,17,0,Home,Pittsburgh Steelers
Cam Newton,Carolina Panthers,1,21,26,217,1,0,9,23,1,Home,Tennessee Titans
Russell Wilson,Seattle Seahawks,1,14,32,240,1,1,6,52,0,Away,Arizona Cardinals
Ryan Fitzpatrick,New York Jets,1,15,34,193,2,2,3,30,0,Away,Buffalo Bills
Matthew Stafford,Detroit Lions,1,24,38,242,2,1,2,1,0,Home,Green Bay Packers
Blake Bortles,Jacksonville Jaguars,1,22,45,188,2,1,2,25,0,Home,Baltimore Ravens
Jameis Winston,Tampa Bay Buccaneers,1,22,39,264,0,2,2,0,1,Away,Dallas Cowboys
Ryan Tannehill,Miami Dolphins,1,21,36,217,2,0,2,-2,0,Home,Philadelphia Eagles
Drew Brees,New Orleans Saints,1,19,28,209,2,2,0,0,0,Home,Washington Redskins
Alex Smith,Kansas City Chiefs,1,17,31,204,1,0,6,33,0,Home,Denver Broncos
Sam Bradford,Philadelphia Eagles,1,19,25,236,1,0,1,0,0,Away,Miami Dolphins
Teddy Bridgewater,Minnesota Vikings,1,14,22,140,1,0,2,23,0,Home,Oakland Raiders
Brock Osweiler,Denver Broncos,1,14,24,146,1,1,3,18,0,Away,Kansas City Chiefs
Tyrod Taylor,Buffalo Bills,1,17,27,158,1,0,6,12,0,Home,New York Jets
Andy Dalton,Cincinnati Bengals,1,22,38,197,0,1,5,30,0,Away,Houston Texans
Marcus Mariota,Tennessee Titans,1,16,24,185,0,1,5,24,0,Away,Carolina Panthers
Nick Foles,St. Louis Rams,1,17,36,200,0,1,0,0,0,Away,Chicago Bears
Matt Cassel,Dallas Cowboys,1,19,30,186,0,1,1,2,0,Home,Tampa Bay Buccaneers
Mark Sanchez,Philadelphia Eagles,1,14,23,156,0,1,2,4,0,Away,Miami Dolphins
Brian Hoyer,Houston Texans,1,12,22,123,0,1,1,15,0,Home,Cincinnati Bengals
T.J. Yates,Houston Texans,1,5,11,69,1,0,2,-2,0,Home,Cincinnati Bengals
Peyton Manning,Denver Broncos,1,5,20,35,0,4,0,0,0,Away,Kansas City Chiefs
Landry Jones,Pittsburgh Steelers,1,3,4,23,0,0,0,0,0,Away,Cleveland Browns
