Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Aaron Rodgers,Green Bay Packers,1,24,35,333,5,0,2,16,0,Away,Kansas City Chiefs
Andy Dalton,Cincinnati Bengals,1,20,32,383,3,1,5,10,1,Home,Baltimore Ravens
Cam Newton,Carolina Panthers,1,20,31,315,2,0,7,33,1,Away,New Orleans Saints
Tyrod Taylor,Buffalo Bills,1,21,29,277,3,0,3,12,0,Home,Miami Dolphins
Marcus Mariota,Tennessee Titans,1,27,44,367,2,2,0,0,0,Away,Indianapolis Colts
Tom Brady,New England Patriots,1,33,42,358,2,0,2,4,0,Away,Jacksonville Jaguars
Joe Flacco,Baltimore Ravens,1,32,49,362,2,1,0,0,0,Away,Cincinnati Bengals
Josh McCown,Cleveland Browns,1,28,49,341,2,1,0,0,0,Away,Oakland Raiders
Peyton Manning,Denver Broncos,1,31,42,324,2,1,1,-1,0,Home,Detroit Lions
Matt Ryan,Atlanta Falcons,1,24,36,285,2,0,2,17,0,Home,Dallas Cowboys
Carson Palmer,Arizona Cardinals,1,20,32,311,2,1,1,1,0,Away,San Francisco 49ers
Derek Carr,Oakland Raiders,1,20,32,314,2,0,1,-1,0,Home,Cleveland Browns
Ryan Fitzpatrick,New York Jets,1,35,58,283,2,3,4,13,0,Away,Philadelphia Eagles
Andrew Luck,Indianapolis Colts,1,18,30,260,2,2,6,21,0,Home,Tennessee Titans
Ryan Tannehill,Miami Dolphins,1,26,49,297,2,3,1,-1,0,Away,Buffalo Bills
Eli Manning,New York Giants,1,23,32,279,2,0,0,0,0,Away,Washington Redskins
Alex Smith,Kansas City Chiefs,1,24,40,290,1,1,6,33,0,Home,Green Bay Packers
Blake Bortles,Jacksonville Jaguars,1,17,33,242,2,1,3,7,0,Home,New England Patriots
Kirk Cousins,Washington Redskins,1,30,49,316,1,2,0,0,0,Home,New York Giants
Russell Wilson,Seattle Seahawks,1,20,30,235,1,0,6,28,0,Away,Chicago Bears
Matthew Stafford,Detroit Lions,1,31,45,282,1,2,1,-1,0,Away,Denver Broncos
Jameis Winston,Tampa Bay Buccaneers,1,17,36,261,1,1,0,0,0,Home,Houston Texans
Philip Rivers,San Diego Chargers,1,21,34,246,1,1,0,0,0,Home,Minnesota Vikings
Luke McCown,New Orleans Saints,1,31,38,310,0,1,0,0,0,Home,Carolina Panthers
Ryan Mallett,Houston Texans,1,24,39,228,1,1,1,-1,0,Away,Tampa Bay Buccaneers
Colin Kaepernick,San Francisco 49ers,1,9,19,67,0,4,7,46,1,Home,Arizona Cardinals
Brandon Weeden,Dallas Cowboys,1,22,26,232,0,1,0,0,0,Away,Atlanta Falcons
Nick Foles,St. Louis Rams,1,19,28,197,0,1,1,10,0,Away,Pittsburgh Steelers
Sam Bradford,Philadelphia Eagles,1,14,28,118,1,0,3,-2,0,Home,New York Jets
Ben Roethlisberger,Pittsburgh Steelers,1,20,24,192,0,1,0,0,0,Home,St. Louis Rams
Kellen Clemens,San Diego Chargers,1,5,6,63,1,0,0,0,0,Home,Minnesota Vikings
Teddy Bridgewater,Minnesota Vikings,1,13,24,121,0,1,1,-1,0,Away,San Diego Chargers
Jimmy Clausen,Chicago Bears,1,9,17,63,0,0,3,13,0,Home,Seattle Seahawks
Michael Vick,Pittsburgh Steelers,1,5,6,38,0,0,2,-2,0,Home,St. Louis Rams
Jimmy Garoppolo,New England Patriots,1,0,0,0,0,0,2,-2,0,Away,Jacksonville Jaguars
EJ Manuel,Buffalo Bills,1,0,0,0,0,0,1,-2,0,Home,Miami Dolphins
Drew Stanton,Arizona Cardinals,1,0,0,0,0,0,3,-3,0,Away,San Francisco 49ers
