Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Cam Newton,Carolina Panthers,1,21,26,293,2,0,6,10,2,Away,Tampa Bay Buccaneers
Kellen Moore,Dallas Cowboys,1,33,48,435,3,2,1,0,0,Away,Washington Redskins
Ben Roethlisberger,Pittsburgh Steelers,1,24,36,349,3,2,2,-2,0,Home,Cleveland Browns
Matthew Stafford,Detroit Lions,1,28,39,298,3,0,6,10,0,Home,Chicago Bears
Ryan Tannehill,Miami Dolphins,1,25,38,350,2,0,3,17,0,Away,New England Patriots
Matt Ryan,Atlanta Falcons,1,24,36,334,2,1,1,0,0,Away,New Orleans Saints
Sam Bradford,Philadelphia Eagles,1,30,38,320,2,1,2,-2,0,Home,New York Giants
Jameis Winston,Tampa Bay Buccaneers,1,29,47,325,0,2,3,14,1,Home,Carolina Panthers
Russell Wilson,Seattle Seahawks,1,19,28,197,3,0,5,13,0,Home,Arizona Cardinals
Eli Manning,New York Giants,1,24,43,302,2,0,0,0,0,Away,Philadelphia Eagles
Blaine Gabbert,San Francisco 49ers,1,28,44,354,1,1,7,7,0,Away,St. Louis Rams
Alex Smith,Kansas City Chiefs,1,14,24,156,2,2,9,61,0,Away,Oakland Raiders
Jay Cutler,Chicago Bears,1,17,23,245,2,3,1,11,0,Away,Detroit Lions
Kirk Cousins,Washington Redskins,1,12,15,176,3,0,0,0,0,Home,Dallas Cowboys
Tyrod Taylor,Buffalo Bills,1,18,28,182,0,0,10,51,1,Away,New York Jets
Philip Rivers,San Diego Chargers,1,21,35,228,2,1,2,5,0,Home,Denver Broncos
Aaron Rodgers,Green Bay Packers,1,28,44,291,1,1,3,12,0,Away,Minnesota Vikings
Drew Brees,New Orleans Saints,1,32,42,323,1,0,3,-5,0,Home,Atlanta Falcons
Ryan Mallett,Baltimore Ravens,1,30,56,292,1,2,1,4,0,Home,Cincinnati Bengals
Ryan Fitzpatrick,New York Jets,1,16,37,181,2,3,2,12,0,Home,Buffalo Bills
Brian Hoyer,Houston Texans,1,25,40,249,1,1,0,0,0,Away,Jacksonville Jaguars
AJ McCarron,Cincinnati Bengals,1,17,27,160,2,0,3,2,0,Away,Baltimore Ravens
Brock Osweiler,Denver Broncos,1,14,22,232,1,2,0,0,0,Away,San Diego Chargers
Derek Carr,Oakland Raiders,1,21,33,194,1,1,2,12,0,Home,Kansas City Chiefs
Austin Davis,Cleveland Browns,1,24,46,240,0,2,3,22,0,Away,Pittsburgh Steelers
Josh Freeman,Indianapolis Colts,1,15,28,149,1,1,8,24,0,Away,Tennessee Titans
Blake Bortles,Jacksonville Jaguars,1,17,32,239,0,2,0,0,0,Home,Houston Texans
Case Keenum,St. Louis Rams,1,22,37,231,0,0,1,2,0,Home,San Francisco 49ers
Carson Palmer,Arizona Cardinals,1,12,25,129,1,1,0,0,0,Away,Seattle Seahawks
Colt McCoy,Washington Redskins,1,7,11,128,1,0,3,-3,0,Home,Dallas Cowboys
Alex Tanney,Tennessee Titans,1,10,14,99,1,0,0,0,0,Home,Indianapolis Colts
Zach Mettenberger,Tennessee Titans,1,5,13,38,0,1,2,4,1,Home,Indianapolis Colts
Ryan Lindley,Indianapolis Colts,1,6,10,58,1,0,0,0,0,Away,Tennessee Titans
Tom Brady,New England Patriots,1,12,21,134,0,0,1,-1,0,Home,Miami Dolphins
Teddy Bridgewater,Minnesota Vikings,1,10,19,99,0,1,2,2,0,Home,Green Bay Packers
Drew Stanton,Arizona Cardinals,1,8,18,84,0,2,0,0,0,Away,Seattle Seahawks
Peyton Manning,Denver Broncos,1,5,9,69,0,0,2,-2,0,Away,San Diego Chargers
Tarvaris Jackson,Seattle Seahawks,1,3,4,28,0,0,2,-2,0,Home,Arizona Cardinals
Jimmy Garoppolo,New England Patriots,1,1,4,6,0,0,0,0,0,Home,Miami Dolphins
Derek Anderson,Carolina Panthers,1,0,0,0,0,0,2,-2,0,Away,Tampa Bay Buccaneers
