Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Russell Wilson,Seattle Seahawks,1,21,30,345,5,0,4,14,0,Away,Pittsburgh Steelers
Matthew Stafford,Detroit Lions,1,27,38,337,5,0,2,13,0,Away,Philadelphia Eagles
Ryan Fitzpatrick,New York Jets,1,22,37,277,4,0,5,21,0,Away,Miami Dolphins
Philip Rivers,San Diego Chargers,1,29,43,300,4,0,5,9,0,Home,Jacksonville Jaguars
Tyrod Taylor,Buffalo Bills,1,21,38,291,3,0,5,46,0,Home,Kansas City Chiefs
Ryan Tannehill,Miami Dolphins,1,33,58,351,3,1,0,0,0,Home,New York Jets
Derek Carr,Oakland Raiders,1,24,37,330,3,0,4,5,0,Home,Tennessee Titans
Ben Roethlisberger,Pittsburgh Steelers,1,36,55,456,1,2,5,18,0,Home,Seattle Seahawks
Blake Bortles,Jacksonville Jaguars,1,30,49,329,2,1,6,33,0,Away,San Diego Chargers
Tom Brady,New England Patriots,1,23,42,280,3,0,0,0,0,Home,Denver Broncos
Kirk Cousins,Washington Redskins,1,20,29,302,1,0,4,1,1,Away,New York Giants
Alex Smith,Kansas City Chiefs,1,19,30,255,2,0,6,35,0,Away,Buffalo Bills
Andy Dalton,Cincinnati Bengals,1,20,27,233,3,1,2,4,0,Away,St. Louis Rams
Eli Manning,New York Giants,1,26,51,321,2,3,0,0,0,Home,Washington Redskins
Marcus Mariota,Tennessee Titans,1,17,37,218,3,2,1,7,0,Away,Oakland Raiders
Matt Hasselbeck,Indianapolis Colts,1,26,42,315,2,0,3,-3,0,Away,Tampa Bay Buccaneers
Blaine Gabbert,San Francisco 49ers,1,25,36,318,1,1,1,11,0,Away,Arizona Cardinals
Matt Schaub,Baltimore Ravens,1,20,34,232,2,2,3,10,0,Home,Cleveland Browns
Carson Palmer,Arizona Cardinals,1,24,40,271,0,0,3,6,1,Home,San Francisco 49ers
Cam Newton,Carolina Panthers,1,16,27,183,0,0,12,45,1,Home,Dallas Cowboys
Jameis Winston,Tampa Bay Buccaneers,1,20,36,245,1,1,3,27,0,Home,Indianapolis Colts
Mark Sanchez,Philadelphia Eagles,1,19,27,199,2,0,2,4,0,Home,Detroit Lions
Brian Hoyer,Houston Texans,1,21,27,205,2,1,3,-3,0,Away,New Orleans Saints
Brock Osweiler,Denver Broncos,1,23,42,270,1,1,2,4,0,Away,New England Patriots
Aaron Rodgers,Green Bay Packers,1,22,43,202,1,1,4,33,0,Away,Chicago Bears
Josh McCown,Cleveland Browns,1,21,38,212,1,0,2,12,0,Away,Baltimore Ravens
Matt Ryan,Atlanta Falcons,1,22,31,230,1,2,1,-1,0,Away,Minnesota Vikings
Jay Cutler,Chicago Bears,1,19,31,200,1,0,4,9,0,Home,Green Bay Packers
Nick Foles,St. Louis Rams,1,30,46,228,0,3,1,2,0,Home,Cincinnati Bengals
Drew Brees,New Orleans Saints,1,25,44,228,0,1,0,0,0,Home,Houston Texans
Matt Cassel,Dallas Cowboys,1,13,19,93,1,0,2,9,0,Away,Carolina Panthers
Austin Davis,Cleveland Browns,1,7,10,77,1,0,1,7,0,Away,Baltimore Ravens
Teddy Bridgewater,Minnesota Vikings,1,20,28,174,0,1,4,-3,0,Home,Atlanta Falcons
Tony Romo,Dallas Cowboys,1,11,21,106,0,3,0,0,0,Away,Carolina Panthers
Landry Jones,Pittsburgh Steelers,1,1,4,34,0,2,0,0,0,Home,Seattle Seahawks
Sean Mannion,St. Louis Rams,1,6,7,31,0,0,0,0,0,Home,Cincinnati Bengals
AJ McCarron,Cincinnati Bengals,1,1,1,3,0,0,0,0,0,Away,St. Louis Rams
Matt McGloin,Oakland Raiders,1,0,1,0,0,0,0,0,0,Home,Tennessee Titans
